solved;AADPOR_EXPL.ConcurrencySafety;AADPOR_PRED.ConcurrencySafety;AASPOR_EXPL.ConcurrencySafety;AASPOR_PRED.ConcurrencySafety;DPOR_EXPL.ConcurrencySafety;DPOR_PRED.ConcurrencySafety;SPOR_EXPL.ConcurrencySafety;SPOR_PRED.ConcurrencySafety
315;851,77;224,57;29,40;89,20;;215,01;32,50;82,42
316;874,62;241,89;29,54;91,01;;224,08;32,64;82,73
317;899,65;279,41;29,67;92,56;;227,55;33,07;83,49
318;;302,84;30,07;94,03;;234,30;38,94;85,17
319;;334,74;30,29;94,46;;243,18;38,95;86,01
320;;336,88;30,41;95,47;;262,46;39,01;89,74
321;;340,23;30,98;99,35;;283,54;42,82;91,71
322;;357,65;31,56;101,74;;417,06;48,43;92,44
323;;364,18;32,33;102,69;;451,80;48,53;93,19
324;;391,53;32,39;103,63;;494,89;52,17;94,04
325;;409,98;32,61;108,38;;521,17;66,15;94,10
326;;435,92;32,86;110,17;;540,20;75,48;94,61
327;;464,38;32,91;111,40;;550,80;78,03;98,83
328;;518,42;34,63;112,38;;579,44;80,70;101,11
329;;545,19;35,00;113,00;;669,48;156,52;102,29
330;;826,08;35,00;117,30;;732,43;;103,67
331;;;35,05;121,57;;738,18;;104,09
332;;;36,27;123,91;;745,11;;106,70
333;;;37,83;124,12;;770,64;;107,24
334;;;39,45;124,77;;;;109,59
335;;;39,69;135,50;;;;111,11
336;;;50,93;136,55;;;;113,49
337;;;56,95;141,49;;;;115,49
338;;;71,99;144,71;;;;118,42
339;;;120,06;146,27;;;;121,08
340;;;;149,09;;;;121,90
341;;;;150,09;;;;126,13
342;;;;150,22;;;;133,12
343;;;;152,45;;;;141,49
344;;;;155,75;;;;143,21
345;;;;155,83;;;;151,82
346;;;;157,49;;;;154,50
347;;;;161,08;;;;158,64
348;;;;161,80;;;;164,05
349;;;;164,64;;;;168,63
350;;;;165,35;;;;169,09
351;;;;165,41;;;;170,81
352;;;;167,12;;;;172,93
353;;;;167,47;;;;175,46
354;;;;167,84;;;;180,76
355;;;;172,19;;;;191,14
356;;;;174,15;;;;211,76
357;;;;186,75;;;;213,69
358;;;;188,35;;;;220,16
359;;;;200,26;;;;232,59
360;;;;222,48;;;;241,82
361;;;;236,32;;;;242,79
362;;;;261,46;;;;243,02
363;;;;263,29;;;;253,28
364;;;;265,17;;;;263,45
365;;;;266,36;;;;308,12
366;;;;278,40;;;;308,22
367;;;;289,65;;;;330,96
368;;;;302,40;;;;370,22
369;;;;312,71;;;;376,97
370;;;;426,15;;;;885,13
371;;;;664,15;;;;
372;;;;690,80;;;;
